# Written by tools/mid_to_song.py. One strike per line: tick volume midi.
# Source: currentbest.mid
# 2590 strikes over 4047 ticks, at most 6 a tick.
length 4047
2451 0.67 77
2453 0.86 57
2455 0.72 76
2457 0.72 86
2459 0.72 76
2461 0.86 69
2463 0.75 76
2465 0.73 86
2467 0.74 76
2469 0.86 67
2471 0.75 76
2473 0.72 84
2474 0.72 76
2477 0.71 43
2477 0.87 55
2478 0.72 74
2480 0.72 84
2482 0.71 74
2484 0.84 67
2486 0.75 74
2488 0.75 82
2490 0.74 74
2492 0.84 64
2492 0.74 76
2494 0.72 74
2496 0.76 82
2498 0.72 74
2500 0.71 41
2500 0.86 53
2502 0.74 73
2504 0.76 82
2506 0.75 73
2508 0.84 65
2508 0.76 77
2509 0.74 73
2511 0.76 82
2513 0.72 73
2515 0.80 65
2515 0.75 77
2517 0.72 73
2519 0.76 81
2521 0.70 73
2523 0.74 46
2523 0.86 58
2523 0.82 70
2525 0.76 72
2527 0.74 81
2529 0.76 72
2531 0.86 64
2531 0.78 76
2533 0.77 72
2535 0.75 79
2536 0.74 72
2538 0.80 74
2539 0.86 62
2540 0.75 70
2542 0.74 77
2544 0.74 70
2546 0.89 55
2546 0.84 67
2548 0.78 70
2550 0.75 76
2552 0.78 70
2554 0.89 65
2556 0.76 74
2558 0.75 81
2560 0.76 74
2562 0.88 67
2562 0.76 79
2564 0.76 74
2566 0.74 79
2568 0.74 74
2570 0.84 62
2570 0.86 67
2570 0.75 74
2571 0.76 70
2574 0.72 77
2576 0.75 70
2578 0.88 69
2579 0.77 72
2581 0.74 77
2583 0.74 72
2585 0.74 58
2585 0.86 70
2587 0.75 74
2589 0.75 77
2591 0.75 74
2593 0.81 67
2593 0.89 70
2595 0.76 76
2597 0.74 82
2599 0.74 76
2601 0.80 57
2601 0.85 69
2603 0.75 76
2605 0.78 82
2607 0.75 76
2609 0.72 45
2609 0.81 57
2609 0.80 69
2611 0.80 76
2612 0.75 81
2614 0.79 76
2616 0.91 74
2616 0.86 81
2617 0.86 38
2617 0.83 77
2625 0.76 50
2628 0.81 69
2628 0.81 77
2628 0.83 81
2633 0.74 50
2636 0.84 70
2636 0.74 79
2636 0.83 82
2640 0.84 50
2640 0.89 70
2640 0.83 76
2640 0.80 79
2640 0.84 82
2646 0.72 50
2648 0.86 50
2652 0.91 70
2652 0.80 76
2652 0.86 79
2652 0.89 82
2656 0.75 50
2660 0.74 65
2660 0.90 69
2660 0.80 76
2660 0.83 77
2660 0.88 81
2664 0.88 38
2664 0.91 50
2664 0.86 65
2664 0.89 69
2664 0.91 74
2664 0.91 77
2672 0.76 50
2676 0.80 50
2676 0.80 65
2676 0.89 69
2676 0.86 74
2676 0.86 77
2676 0.84 81
2680 0.77 50
2680 0.77 62
2683 0.77 50
2683 0.89 67
2683 0.84 69
2683 0.90 70
2683 0.84 79
2683 0.84 82
2687 0.84 50
2687 0.91 64
2687 0.84 67
2687 0.89 70
2687 0.86 76
2687 0.84 82
2693 0.83 53
2695 0.76 50
2699 0.89 52
2699 0.81 58
2699 0.89 64
2699 0.86 70
2699 0.84 76
2699 0.81 82
2703 0.83 53
2703 0.86 65
2703 0.81 69
2703 0.83 77
2706 0.82 58
2706 0.84 64
2706 0.86 67
2706 0.90 70
2706 0.86 76
2706 0.79 79
2710 0.89 38
2710 0.91 50
2710 0.89 65
2710 0.91 69
2710 0.91 74
2710 0.90 77
2718 0.86 53
2722 0.76 57
2722 0.84 62
2722 0.86 65
2722 0.89 69
2722 0.89 74
2722 0.88 77
2726 0.83 53
2730 0.80 58
2730 0.82 62
2730 0.99 70
2730 0.79 74
2734 0.84 58
2734 0.87 64
2734 0.88 67
2734 0.94 70
2734 0.89 76
2739 0.74 53
2742 0.84 38
2742 0.84 50
2746 0.84 58
2746 0.91 64
2746 0.89 67
2746 0.91 70
2746 0.86 76
2750 0.82 53
2754 0.80 57
2754 0.86 64
2754 0.89 69
2754 0.84 76
2758 0.86 57
2758 0.90 62
2758 0.90 65
2758 0.87 74
2765 0.84 38
2765 0.84 50
2769 0.89 62
2769 0.86 65
2769 0.86 69
2769 0.84 74
2774 0.79 50
2777 0.81 58
2777 0.82 62
2777 0.89 67
2777 0.89 70
2777 0.82 74
2781 0.83 58
2781 0.80 61
2781 0.81 64
2781 0.89 70
2781 0.89 76
2789 0.84 38
2793 0.89 58
2793 0.81 64
2793 0.95 70
2793 0.83 76
2793 0.79 77
2793 0.84 82
2796 0.80 53
2797 0.71 50
2797 0.84 65
2800 0.79 58
2800 0.82 64
2800 0.84 67
2800 0.80 70
2800 0.72 76
2804 0.59 45
2804 0.63 50
2805 0.63 57
2805 0.76 65
2816 0.61 65
2816 0.66 77
2817 0.37 62
2820 0.55 50
2824 0.67 67
2827 0.40 43
2828 0.49 50
2828 0.56 58
2828 0.69 64
2828 0.61 70
2828 0.67 76
2840 0.67 64
2840 0.70 76
2848 0.66 65
2848 0.61 77
2852 0.38 45
2852 0.51 50
2852 0.49 57
2852 0.71 62
2852 0.66 74
2863 0.61 62
2871 0.59 64
2871 0.57 76
2875 0.49 45
2875 0.52 57
2875 0.61 61
2875 0.51 69
2875 0.59 73
2891 0.65 45
2891 0.63 57
2899 0.63 50
2899 0.63 62
2899 0.78 65
2899 0.63 69
2899 0.80 77
2911 0.64 50
2911 0.63 62
2911 0.71 65
2911 0.63 69
2911 0.74 77
2919 0.76 67
2923 0.67 43
2923 0.67 55
2923 0.84 64
2923 0.80 76
2934 0.80 55
2934 0.72 58
2934 0.89 64
2934 0.86 76
2942 0.84 65
2942 0.84 77
2946 0.82 50
2946 0.74 57
2946 0.91 62
2946 0.76 69
2946 0.84 74
2957 0.84 50
2957 0.95 62
2957 0.89 74
2965 0.89 64
2965 0.84 76
2969 0.82 38
2969 0.76 45
2969 0.91 61
2969 0.86 64
2969 0.84 69
2969 0.89 73
2977 0.82 45
2977 0.84 52
2977 0.90 57
2977 0.84 61
2977 0.89 64
2977 0.89 69
2985 0.84 45
2985 0.84 49
2985 0.91 57
2985 0.88 61
2985 0.87 69
2985 0.88 76
2993 0.84 38
2993 0.94 50
2997 0.80 62
2997 0.89 74
2997 0.90 77
2997 0.89 81
2997 0.89 86
3001 0.86 53
3003 0.60 52
3005 0.71 57
3005 0.88 74
3005 0.89 81
3005 0.89 86
3005 0.87 89
3008 0.82 50
3008 0.78 74
3009 0.78 69
3010 0.71 53
3010 0.67 62
3012 0.80 62
3012 0.80 86
3012 0.95 94
3016 0.87 26
3016 0.91 38
3020 0.84 76
3020 0.94 82
3020 0.89 88
3024 0.91 50
3024 0.84 69
3024 0.82 74
3026 0.80 52
3028 0.82 52
3028 0.95 82
3028 0.89 88
3028 0.89 91
3031 0.84 50
3033 0.71 52
3035 0.75 52
3035 0.86 57
3035 0.82 69
3035 0.86 81
3035 0.86 88
3035 0.89 93
3039 0.86 26
3039 0.91 38
3043 0.91 77
3043 0.89 81
3043 0.91 86
3043 0.84 89
3047 0.88 50
3047 0.88 69
3051 0.80 57
3051 0.89 81
3051 0.94 86
3051 0.86 89
3055 0.82 50
3055 0.77 69
3057 0.71 53
3059 0.89 86
3059 0.89 91
3063 0.84 26
3063 0.91 38
3067 0.91 76
3067 0.88 82
3067 0.84 85
3067 0.89 88
3070 0.87 50
3070 0.80 69
3072 0.75 52
3074 0.86 52
3074 0.89 76
3074 0.81 85
3074 0.89 88
3078 0.76 55
3078 0.76 57
3078 0.88 77
3078 0.80 81
3078 0.80 86
3078 0.88 89
3082 0.77 57
3082 0.78 79
3082 0.91 91
3086 0.84 26
3086 0.89 38
3086 0.91 86
3086 0.94 93
3094 0.84 50
3096 0.80 69
3098 0.75 77
3099 0.76 81
3101 0.89 86
3103 0.75 81
3105 0.77 77
3107 0.74 74
3109 0.84 26
3109 0.91 38
3109 0.95 86
3117 0.87 50
3117 0.76 69
3119 0.75 67
3121 0.71 74
3122 0.75 79
3125 0.86 82
3127 0.71 79
3129 0.75 74
3130 0.78 67
3133 0.84 26
3133 0.89 38
3133 0.99 86
3141 0.72 69
3143 0.71 65
3144 0.75 69
3146 0.77 74
3148 0.82 77
3150 0.75 74
3152 0.69 69
3154 0.74 65
3154 0.72 77
3156 0.80 26
3156 0.84 38
3156 0.94 86
3164 0.82 50
3166 0.76 67
3168 0.78 73
3170 0.74 76
3172 0.78 79
3174 0.75 76
3176 0.64 57
3176 0.75 73
3177 0.68 67
3181 0.64 50
3181 0.66 81
3183 0.59 62
3185 0.56 69
3187 0.66 74
3189 0.64 77
3190 0.67 81
3192 0.63 53
3192 0.74 82
3194 0.60 65
3196 0.64 70
3198 0.66 74
3200 0.65 77
3202 0.74 82
3204 0.67 52
3204 0.67 79
3208 0.61 64
3208 0.59 76
3210 0.61 67
3212 0.67 74
3213 0.70 79
3216 0.64 45
3216 0.77 81
3218 0.61 57
3220 0.66 64
3222 0.67 69
3223 0.68 73
3225 0.71 81
3228 0.64 50
3228 0.78 77
3230 0.62 57
3232 0.61 62
3233 0.62 65
3235 0.69 69
3237 0.70 77
3239 0.57 43
3239 0.76 77
3241 0.62 58
3244 0.59 62
3245 0.66 67
3247 0.67 70
3249 0.69 77
3251 0.61 52
3251 0.72 76
3253 0.56 58
3255 0.57 62
3257 0.61 67
3259 0.61 64
3259 0.74 70
3260 0.73 76
3263 0.62 45
3263 0.75 76
3265 0.63 57
3267 0.67 61
3269 0.67 64
3270 0.68 69
3272 0.75 76
3275 0.72 38
3275 0.84 50
3278 0.82 81
3279 0.68 62
3279 0.68 74
3279 0.80 77
3283 0.71 62
3283 0.71 74
3287 0.78 77
3287 0.86 81
3290 0.62 65
3291 0.47 62
3294 0.63 79
3294 0.81 82
3294 0.67 86
3298 0.70 55
3302 0.67 70
3302 0.62 76
3302 0.70 79
3306 0.66 58
3306 0.61 70
3310 0.67 70
3310 0.61 76
3310 0.68 79
3314 0.59 64
3317 0.67 81
3318 0.63 70
3318 0.61 77
3321 0.79 53
3325 0.64 69
3325 0.67 74
3325 0.72 77
3329 0.72 57
3333 0.68 69
3333 0.61 74
3333 0.76 77
3337 0.59 62
3341 0.57 67
3341 0.57 69
3341 0.61 77
3341 0.68 79
3345 0.76 52
3345 0.76 64
3349 0.76 70
3349 0.70 76
3349 0.68 79
3353 0.74 55
3353 0.70 64
3353 0.63 67
3357 0.68 70
3357 0.80 73
3357 0.82 76
3361 0.68 61
3361 0.71 73
3361 0.79 74
3361 0.84 77
3364 0.86 76
3364 0.86 79
3368 0.79 65
3368 0.89 69
3368 0.66 74
3368 0.89 81
3369 0.87 77
3372 0.72 38
3372 0.72 50
3376 0.74 69
3377 0.71 50
3380 0.66 62
3380 0.77 65
3380 0.86 69
3380 0.88 77
3380 0.84 81
3384 0.72 50
3388 0.84 67
3388 0.84 79
3392 0.94 70
3392 0.74 75
3392 0.80 79
3392 0.89 82
3396 0.78 31
3396 0.84 43
3404 0.95 70
3404 0.84 75
3404 0.83 79
3404 0.91 82
3408 0.75 55
3412 0.91 74
3412 0.89 86
3416 0.91 72
3416 0.80 75
3416 0.82 79
3416 0.84 84
3420 0.80 33
3420 0.84 45
3424 0.74 52
3424 0.81 64
3428 0.80 60
3428 0.91 72
3428 0.82 75
3428 0.84 79
3428 0.84 84
3431 0.77 57
3435 0.72 60
3435 0.76 72
3435 0.91 75
3435 0.89 87
3439 0.91 74
3439 0.89 78
3439 0.83 81
3439 0.91 86
3443 0.74 38
3443 0.84 50
3443 0.81 69
3447 0.86 54
3447 0.86 66
3451 0.80 62
3451 0.84 66
3451 0.91 74
3451 0.89 78
3451 0.80 81
3451 0.86 86
3454 0.88 74
3454 0.87 86
3455 0.77 54
3455 0.80 62
3455 0.82 66
3455 0.86 78
3455 0.83 81
3458 0.74 54
3458 0.71 81
3458 0.80 86
3462 0.82 43
3462 0.91 55
3462 0.94 84
3462 0.91 91
3467 0.75 79
3467 0.80 91
3468 0.83 78
3468 0.84 90
3470 0.89 70
3470 0.84 79
3470 0.84 82
3470 0.86 91
3471 0.76 62
3471 0.80 67
3474 0.89 74
3474 0.83 86
3478 0.71 62
3478 0.75 67
3478 0.89 70
3478 0.86 82
3478 0.84 89
3482 0.82 67
3482 0.81 79
3482 0.86 86
3486 0.82 36
3486 0.89 48
3486 0.91 76
3486 0.90 82
3486 0.90 88
3491 0.74 48
3494 0.69 55
3494 0.74 60
3494 0.75 64
3495 0.69 67
3498 0.89 72
3498 0.89 84
3502 0.72 55
3502 0.72 60
3502 0.76 64
3502 0.90 74
3502 0.84 76
3502 0.88 86
3506 0.86 76
3506 0.81 88
3510 0.86 41
3510 0.94 53
3510 0.91 81
3510 0.91 89
3516 0.84 76
3516 0.82 88
3518 0.71 60
3518 0.75 65
3518 0.76 69
3518 0.84 77
3518 0.84 89
3519 0.69 88
3522 0.88 72
3522 0.88 84
3526 0.74 60
3526 0.72 65
3526 0.87 69
3526 0.85 81
3529 0.75 65
3529 0.84 77
3533 0.91 86
3534 0.84 34
3534 0.89 46
3534 0.91 77
3534 0.84 79
3534 0.89 89
3538 0.80 58
3542 0.80 58
3542 0.77 62
3542 0.74 65
3545 0.91 82
3545 0.84 89
3546 0.72 65
3546 0.89 70
3549 0.80 58
3549 0.77 62
3549 0.77 65
3549 0.91 72
3549 0.88 84
3553 0.91 74
3553 0.86 86
3557 0.84 40
3557 0.89 52
3557 0.94 74
3557 0.89 82
3557 0.91 86
3562 0.77 59
3563 0.71 67
3565 0.80 38
3565 0.86 50
3565 0.87 62
3565 0.79 67
3567 0.76 58
3567 0.76 70
3569 0.71 62
3571 0.68 64
3571 0.76 76
3573 0.67 67
3573 0.89 70
3573 0.91 74
3575 0.74 64
3577 0.71 67
3578 0.74 70
3580 0.84 74
3580 0.94 76
3582 0.74 67
3584 0.74 70
3586 0.72 74
3588 0.71 67
3588 0.91 76
3588 0.84 79
3590 0.76 70
3592 0.70 74
3594 0.74 76
3595 0.99 82
3596 0.86 79
3597 0.74 76
3599 0.74 79
3601 0.84 82
3603 0.86 76
3603 0.89 86
3605 0.78 79
3607 0.86 82
3609 0.80 86
3611 0.81 76
3611 0.84 79
3611 0.84 88
3613 0.84 82
3615 0.84 86
3617 0.80 88
3619 0.89 86
3619 0.89 91
3621 0.76 88
3622 0.84 91
3624 0.89 94
3627 1.00 88
3641 0.82 40
3641 0.89 52
3641 0.84 86
3641 0.88 92
3643 0.78 40
3643 0.84 52
3643 0.89 59
3643 0.89 85
3643 0.89 92
3649 0.73 40
3649 0.74 52
3649 0.82 86
3649 0.73 92
3651 0.94 45
3651 0.85 85
3651 0.89 91
3651 0.84 93
3660 0.74 52
3662 0.71 55
3664 0.74 58
3666 0.76 61
3668 0.72 55
3670 0.69 58
3671 0.78 61
3674 0.76 64
3675 0.74 58
3676 0.67 70
3677 0.75 61
3679 0.74 64
3679 0.72 76
3681 0.79 67
3681 0.76 79
3683 0.76 61
3685 0.75 64
3685 0.69 76
3687 0.72 67
3689 0.82 70
3691 0.70 64
3693 0.61 67
3695 0.77 70
3697 0.80 46
3697 0.86 58
3697 0.86 73
3699 0.72 67
3701 0.78 70
3703 0.75 73
3705 0.76 43
3705 0.86 55
3705 0.82 76
3707 0.75 70
3708 0.74 73
3711 0.75 76
3713 0.77 40
3713 0.86 52
3713 0.78 79
3715 0.77 73
3716 0.78 76
3718 0.78 79
3720 0.84 37
3720 0.91 49
3721 0.89 82
3722 0.82 76
3724 0.78 79
3726 0.84 82
3728 0.84 34
3728 0.91 46
3728 0.86 85
3730 0.80 79
3732 0.80 82
3734 0.80 85
3736 0.82 31
3736 0.89 43
3736 0.91 88
3738 0.84 82
3740 0.78 85
3742 0.82 88
3744 0.86 38
3744 0.91 50
3748 0.91 74
3748 0.89 81
3749 0.84 69
3752 0.75 53
3756 0.89 74
3760 0.72 50
3764 0.75 62
3764 0.89 70
3764 0.86 74
3768 0.84 38
3772 0.81 67
3772 0.84 74
3772 0.80 79
3775 0.71 50
3780 0.86 67
3780 0.89 74
3783 0.78 50
3785 0.67 52
3787 0.79 57
3787 0.91 74
3787 0.84 81
3791 0.84 26
3791 0.88 38
3795 0.84 65
3795 0.86 74
3795 0.84 77
3799 0.76 50
3801 0.72 53
3803 0.72 57
3803 0.84 65
3803 0.80 74
3803 0.89 77
3807 0.71 50
3809 0.72 53
3810 0.86 67
3810 0.84 74
3810 0.84 79
3811 0.56 76
3815 0.81 26
3815 0.84 38
3819 0.87 64
3819 0.87 74
3819 0.87 76
3822 0.71 50
3824 0.70 52
3826 0.84 64
3826 0.87 74
3826 0.88 76
3830 0.71 50
3834 0.67 57
3834 0.74 65
3834 0.78 72
3834 0.69 74
3834 0.81 77
3838 0.67 38
3838 0.71 50
3838 0.75 74
3838 0.68 77
3838 0.74 81
3838 0.75 86
3846 0.53 50
3846 0.56 53
3850 0.56 62
3850 0.64 81
3850 0.72 86
3851 0.59 77
3858 0.69 82
3862 0.53 26
3862 0.53 38
3862 0.51 50
3862 0.59 76
3862 0.63 79
3862 0.71 86
3869 0.54 50
3874 0.67 76
3874 0.66 79
3874 0.69 86
3882 0.68 81
3886 0.53 26
3886 0.51 38
3886 0.53 50
3886 0.61 77
3886 0.66 86
3893 0.57 50
3897 0.56 77
3898 0.61 86
3904 0.60 79
3905 0.47 50
3905 0.59 69
3909 0.64 26
3909 0.57 38
3909 0.57 76
3909 0.71 86
3913 0.51 45
3917 0.61 50
3917 0.61 69
3921 0.75 76
3925 0.59 62
3925 0.71 76
3928 0.75 77
3933 0.52 38
3933 0.56 65
3933 0.66 74
3940 0.51 62
3940 0.47 69
3944 0.60 53
3949 0.51 57
3952 0.55 62
3957 0.64 69
3973 0.43 26
3973 0.43 38
3973 0.53 74
3981 0.53 86
4007 0.56 98
